g,geracao,p,peso,v,valor,f,fitness
G:,245,peso:,17330,valor:,20986,fitness:,20986
G:,246,peso:,17330,valor:,20986,fitness:,20986
G:,247,peso:,17330,valor:,20986,fitness:,20986
G:,248,peso:,17330,valor:,20986,fitness:,20986
G:,249,peso:,17330,valor:,20986,fitness:,20986
G:,250,peso:,17330,valor:,20986,fitness:,20986
G:,251,peso:,17330,valor:,20986,fitness:,20986
G:,252,peso:,17330,valor:,20986,fitness:,20986
G:,253,peso:,17330,valor:,20986,fitness:,20986
G:,254,peso:,17330,valor:,20986,fitness:,20986
G:,255,peso:,17330,valor:,20986,fitness:,20986
G:,256,peso:,17330,valor:,20986,fitness:,20986
G:,257,peso:,17330,valor:,20986,fitness:,20986
G:,258,peso:,17221,valor:,20988,fitness:,20988
G:,259,peso:,17221,valor:,20988,fitness:,20988
G:,260,peso:,17221,valor:,20988,fitness:,20988
G:,261,peso:,17239,valor:,20993,fitness:,20993
G:,262,peso:,17239,valor:,20993,fitness:,20993
G:,263,peso:,17239,valor:,20993,fitness:,20993
G:,264,peso:,17239,valor:,20993,fitness:,20993
G:,265,peso:,17239,valor:,20993,fitness:,20993
G:,266,peso:,17237,valor:,21044,fitness:,21044
G:,267,peso:,17251,valor:,21068,fitness:,21068
G:,268,peso:,17251,valor:,21068,fitness:,21068
G:,269,peso:,17251,valor:,21068,fitness:,21068
G:,270,peso:,17251,valor:,21068,fitness:,21068
G:,271,peso:,17251,valor:,21068,fitness:,21068
G:,272,peso:,17251,valor:,21068,fitness:,21068
G:,273,peso:,17251,valor:,21068,fitness:,21068
G:,274,peso:,17270,valor:,21077,fitness:,21077
G:,275,peso:,17270,valor:,21077,fitness:,21077
G:,276,peso:,17270,valor:,21077,fitness:,21077
G:,277,peso:,17270,valor:,21077,fitness:,21077
G:,278,peso:,17270,valor:,21077,fitness:,21077
G:,279,peso:,17270,valor:,21077,fitness:,21077
G:,280,peso:,17270,valor:,21077,fitness:,21077
G:,281,peso:,17270,valor:,21077,fitness:,21077
G:,282,peso:,17270,valor:,21077,fitness:,21077
G:,283,peso:,17270,valor:,21077,fitness:,21077
G:,284,peso:,17270,valor:,21077,fitness:,21077
G:,285,peso:,17270,valor:,21077,fitness:,21077
G:,286,peso:,17270,valor:,21077,fitness:,21077
G:,287,peso:,17270,valor:,21077,fitness:,21077
G:,288,peso:,17270,valor:,21077,fitness:,21077
G:,289,peso:,17270,valor:,21077,fitness:,21077
G:,290,peso:,17270,valor:,21077,fitness:,21077
G:,291,peso:,17270,valor:,21077,fitness:,21077
G:,292,peso:,17270,valor:,21077,fitness:,21077
G:,293,peso:,17270,valor:,21077,fitness:,21077
G:,294,peso:,17270,valor:,21077,fitness:,21077
G:,295,peso:,17270,valor:,21077,fitness:,21077
G:,296,peso:,17270,valor:,21077,fitness:,21077
G:,297,peso:,17270,valor:,21077,fitness:,21077
G:,298,peso:,17270,valor:,21077,fitness:,21077
G:,299,peso:,17235,valor:,21151,fitness:,21151
G:,300,peso:,17235,valor:,21151,fitness:,21151
G:,301,peso:,17235,valor:,21151,fitness:,21151
G:,302,peso:,17235,valor:,21151,fitness:,21151
G:,303,peso:,17235,valor:,21151,fitness:,21151
G:,304,peso:,17235,valor:,21151,fitness:,21151
G:,305,peso:,17235,valor:,21151,fitness:,21151
G:,306,peso:,17235,valor:,21151,fitness:,21151
G:,307,peso:,17235,valor:,21151,fitness:,21151
G:,308,peso:,17235,valor:,21151,fitness:,21151
G:,309,peso:,17235,valor:,21151,fitness:,21151
G:,310,peso:,17235,valor:,21151,fitness:,21151
G:,311,peso:,17249,valor:,21159,fitness:,21159
G:,312,peso:,17308,valor:,21162,fitness:,21162
G:,313,peso:,17289,valor:,21201,fitness:,21201
G:,314,peso:,17289,valor:,21201,fitness:,21201
G:,315,peso:,17289,valor:,21201,fitness:,21201
G:,316,peso:,17289,valor:,21201,fitness:,21201
G:,317,peso:,17289,valor:,21201,fitness:,21201
G:,318,peso:,17289,valor:,21201,fitness:,21201
G:,319,peso:,17292,valor:,21224,fitness:,21224
G:,320,peso:,17292,valor:,21224,fitness:,21224
G:,321,peso:,17313,valor:,21235,fitness:,21235
G:,322,peso:,17313,valor:,21235,fitness:,21235
G:,323,peso:,17313,valor:,21235,fitness:,21235
G:,324,peso:,17313,valor:,21235,fitness:,21235
G:,325,peso:,17313,valor:,21235,fitness:,21235
G:,326,peso:,17313,valor:,21235,fitness:,21235
G:,327,peso:,17313,valor:,21235,fitness:,21235
G:,328,peso:,17313,valor:,21235,fitness:,21235
G:,329,peso:,17313,valor:,21235,fitness:,21235
G:,330,peso:,17313,valor:,21235,fitness:,21235
G:,331,peso:,17313,valor:,21235,fitness:,21235
G:,332,peso:,17313,valor:,21235,fitness:,21235
G:,333,peso:,17313,valor:,21235,fitness:,21235
G:,334,peso:,17313,valor:,21235,fitness:,21235
G:,335,peso:,17313,valor:,21235,fitness:,21235
G:,336,peso:,17313,valor:,21235,fitness:,21235
G:,337,peso:,17313,valor:,21235,fitness:,21235
G:,338,peso:,17313,valor:,21235,fitness:,21235
G:,339,peso:,17313,valor:,21235,fitness:,21235
G:,340,peso:,17313,valor:,21235,fitness:,21235
G:,341,peso:,17313,valor:,21235,fitness:,21235
G:,342,peso:,17313,valor:,21235,fitness:,21235
G:,343,peso:,17313,valor:,21235,fitness:,21235
G:,344,peso:,17335,valor:,21281,fitness:,21281
G:,345,peso:,17335,valor:,21281,fitness:,21281
G:,346,peso:,17335,valor:,21281,fitness:,21281
G:,347,peso:,17335,valor:,21281,fitness:,21281
G:,348,peso:,17335,valor:,21281,fitness:,21281
G:,349,peso:,17335,valor:,21281,fitness:,21281
G:,350,peso:,17335,valor:,21281,fitness:,21281
G:,351,peso:,17335,valor:,21281,fitness:,21281
G:,352,peso:,17335,valor:,21281,fitness:,21281
G:,353,peso:,17335,valor:,21281,fitness:,21281
G:,354,peso:,17335,valor:,21281,fitness:,21281
G:,355,peso:,17335,valor:,21281,fitness:,21281
G:,356,peso:,17335,valor:,21281,fitness:,21281
G:,357,peso:,17335,valor:,21281,fitness:,21281
G:,358,peso:,17335,valor:,21281,fitness:,21281
G:,359,peso:,17335,valor:,21281,fitness:,21281
G:,360,peso:,17335,valor:,21281,fitness:,21281
G:,361,peso:,17335,valor:,21281,fitness:,21281
G:,362,peso:,17335,valor:,21281,fitness:,21281
G:,363,peso:,17335,valor:,21281,fitness:,21281
G:,364,peso:,17335,valor:,21281,fitness:,21281
G:,365,peso:,17335,valor:,21281,fitness:,21281
G:,366,peso:,17335,valor:,21281,fitness:,21281
G:,367,peso:,17335,valor:,21281,fitness:,21281
G:,368,peso:,17335,valor:,21281,fitness:,21281
G:,369,peso:,17335,valor:,21281,fitness:,21281
G:,370,peso:,17335,valor:,21281,fitness:,21281
G:,371,peso:,17335,valor:,21281,fitness:,21281
G:,372,peso:,17335,valor:,21281,fitness:,21281
G:,373,peso:,17335,valor:,21281,fitness:,21281
G:,374,peso:,17335,valor:,21281,fitness:,21281
G:,375,peso:,17335,valor:,21281,fitness:,21281
G:,376,peso:,17335,valor:,21281,fitness:,21281
G:,377,peso:,17335,valor:,21281,fitness:,21281
G:,378,peso:,17335,valor:,21281,fitness:,21281
G:,379,peso:,17335,valor:,21281,fitness:,21281
G:,380,peso:,17335,valor:,21281,fitness:,21281
G:,381,peso:,17335,valor:,21281,fitness:,21281
G:,382,peso:,17335,valor:,21281,fitness:,21281
G:,383,peso:,17335,valor:,21281,fitness:,21281
G:,384,peso:,17335,valor:,21281,fitness:,21281
G:,385,peso:,17335,valor:,21281,fitness:,21281
G:,386,peso:,17335,valor:,21281,fitness:,21281
G:,387,peso:,17335,valor:,21281,fitness:,21281
G:,388,peso:,17335,valor:,21281,fitness:,21281
G:,389,peso:,17335,valor:,21281,fitness:,21281
G:,390,peso:,17335,valor:,21281,fitness:,21281
G:,391,peso:,17335,valor:,21281,fitness:,21281
G:,392,peso:,17335,valor:,21281,fitness:,21281
